isDGA,domain,host,subclass
dga,tyopcrkqgxcfm,tyopcrkqgxcfm.co.uk,cryptolocker
dga,72j5rn1l9mzleo6203v1ogenfl,72j5rn1l9mzleo6203v1ogenfl.org,gameoverdga
dga,thenrest,thenrest.net,nivdort
dga,15ihbm71utcnfa8dk1mmgoobl9,15ihbm71utcnfa8dk1mmgoobl9.org,gameoverdga
dga,x1d6ou7e7kofk60ayhq74x7e,x1d6ou7e7kofk60ayhq74x7e.net,gameoverdga
dga,nvptudwjfcmv,nvptudwjfcmv.ru,cryptolocker
dga,dtvbafg,dtvbafg.nf,necurs
dga,doqlkpjszrcacin3d7j7k931,doqlkpjszrcacin3d7j7k931.net,newgoz
dga,tacygbtrbuytir,tacygbtrbuytir.co.uk,cryptolocker
dga,ogpbfninqpxa,ogpbfninqpxa.ru,cryptolocker
dga,pkllwwkklkgbs,pkllwwkklkgbs.ru,cryptolocker
dga,ogwpkevwsdhlm,ogwpkevwsdhlm.ru,cryptolocker
dga,kllpyohlrmedmxy,kllpyohlrmedmxy.ru,cryptolocker
dga,rkptqwwluipqhm,rkptqwwluipqhm.ru,cryptolocker
dga,fgvpimdffyanxhh,fgvpimdffyanxhh.ru,cryptolocker
dga,tubphtrdyyhed,tubphtrdyyhed.ir,necurs
dga,rsjhcuwsvqhqa,rsjhcuwsvqhqa.ru,cryptolocker
dga,ydgghhwyuqsy,ydgghhwyuqsy.ru,cryptolocker
dga,1f7ewbe1agxr7dwegr4s9tnozw,1f7ewbe1agxr7dwegr4s9tnozw.biz,newgoz
dga,1ll2hfm1dc3ry3mwd93be2pa69,1ll2hfm1dc3ry3mwd93be2pa69.org,newgoz
dga,fmhlayeprxkvcjrtpxswsqsbu,fmhlayeprxkvcjrtpxswsqsbu.ru,goz
dga,bvxjoqrwnbhuhij,bvxjoqrwnbhuhij.ru,cryptolocker
dga,wcavynybnkwraa,wcavynybnkwraa.net,cryptolocker
dga,vxfouucqbrbts,vxfouucqbrbts.info,cryptolocker
dga,ukoldwwbgun,ukoldwwbgun.bit,necurs
dga,umjoklxgauui,umjoklxgauui.org,cryptolocker
dga,southearth,southearth.net,nivdort
dga,uckjmzeqsomncmfaytrvsaqempznj,uckjmzeqsomncmfaytrvsaqempznj.ru,goz
dga,spendpeace,spendpeace.net,nivdort
dga,njkznfharknznzzpmfgucylvozx,njkznfharknznzzpmfgucylvozx.ru,goz
dga,otjqqfqgdfohvhipepvk,otjqqfqgdfohvhipepvk.com,necurs
dga,gtqtkaqs,gtqtkaqs.org,necurs
dga,ehsr5aiw2g48136h2tr1tn1bfk,ehsr5aiw2g48136h2tr1tn1bfk.net,gameoverdga
dga,1xfstzpkqwszqa2b2gj19xztpj,1xfstzpkqwszqa2b2gj19xztpj.net,newgoz
dga,qcyimjtdqgkn,qcyimjtdqgkn.ru,cryptolocker
dga,dkdnvrvvfhwj,dkdnvrvvfhwj.ru,cryptolocker
dga,oaqmwxjwfblt,oaqmwxjwfblt.ru,cryptolocker
dga,rxiemsxcabdis,rxiemsxcabdis.ru,cryptolocker
dga,rbpnjisr,rbpnjisr.bz,necurs
dga,3hmd8c1dxpy3hcx4v0t1n6auy4,3hmd8c1dxpy3hcx4v0t1n6auy4.org,gameoverdga
dga,1a2i38r1h2o30sx32d6wnpdowl,1a2i38r1h2o30sx32d6wnpdowl.org,newgoz
dga,irrvopwkcysbezljfydzhaqdmhh,irrvopwkcysbezljfydzhaqdmhh.ru,goz
dga,baoqksjchutm,baoqksjchutm.ru,cryptolocker
dga,1gqok7710nnz5u24m2rlwzcbal,1gqok7710nnz5u24m2rlwzcbal.net,gameoverdga
dga,10dw18h6vdu8y1j3zqqj1l9ss3o,10dw18h6vdu8y1j3zqqj1l9ss3o.org,gameoverdga
dga,mhtnkeqgtqyjuka,mhtnkeqgtqyjuka.ru,cryptolocker
dga,xfgbyvak,xfgbyvak.in,necurs
dga,pnpzxpraqwkdvlvmbprxizpbrw,pnpzxpraqwkdvlvmbprxizpbrw.ru,goz
dga,joingold,joingold.net,nivdort
dga,4mybo2t1z98v1jp46ew3x4201,4mybo2t1z98v1jp46ew3x4201.com,gameoverdga
dga,hdunigpfbitv,hdunigpfbitv.ru,cryptolocker
dga,septembercloth,septembercloth.net,nivdort
dga,yexttjcsrqsluy,yexttjcsrqsluy.nf,necurs
dga,1itta5p1ocxvhr1wtb2dn1gmaagd,1itta5p1ocxvhr1wtb2dn1gmaagd.net,gameoverdga
dga,yimbnrhybvqw,yimbnrhybvqw.ru,cryptolocker
dga,14wa72y1a4sr1h1fwbq8koedgqo,14wa72y1a4sr1h1fwbq8koedgqo.com,newgoz
dga,1on1rer154d05g1qdyjer1mqiojm,1on1rer154d05g1qdyjer1mqiojm.net,newgoz
dga,morwkbwobrcbaxconvcyttg,morwkbwobrcbaxconvcyttg.ru,goz
dga,tqaodkhdltoot,tqaodkhdltoot.ru,cryptolocker
dga,ptdrtbilwvnlokc,ptdrtbilwvnlokc.ru,cryptolocker
dga,nrtrsdeyucxsplukcefaskytnr,nrtrsdeyucxsplukcefaskytnr.ru,goz
dga,spotroll,spotroll.net,nivdort
dga,knxqgeerrhed,knxqgeerrhed.ru,cryptolocker
dga,kfusgxajkakdx,kfusgxajkakdx.ru,cryptolocker
dga,cwwitxweowbjbn,cwwitxweowbjbn.tv,necurs
dga,dvbuhstmpouw,dvbuhstmpouw.ru,cryptolocker
dga,rvcrgdmrwhzxibcmztmbltdmmj,rvcrgdmrwhzxibcmztmbltdmmj.ru,goz
dga,humanlift,humanlift.net,nivdort
dga,gxksyrmdctxphiapxpsy,gxksyrmdctxphiapxpsy.ir,necurs
dga,ovqvapvcpjxis,ovqvapvcpjxis.ru,cryptolocker
dga,fvatgpqwclpx,fvatgpqwclpx.ru,cryptolocker
dga,xwxmmrztqsmvdifbyhvkmraqem,xwxmmrztqsmvdifbyhvkmraqem.ru,goz
dga,madewore,madewore.net,nivdort
