,date,ConfickerAB,Bedep
0,2016-06-01,255,430.0
1,2016-06-02,431,453.0
2,2016-06-03,367,338.0
3,2016-06-04,272,259.0
4,2016-06-05,245,284.0
5,2016-06-06,376,344.0
6,2016-06-07,368,337.0
7,2016-06-08,415,233.0
8,2016-06-09,408,312.0
9,2016-06-10,372,286.0
10,2016-06-11,284,294.0
11,2016-06-12,244,290.0
12,2016-06-13,378,291.0
13,2016-06-14,373,193.0
14,2016-06-15,376,36.0
15,2016-06-16,397,65.0
16,2016-06-17,340,65.0
17,2016-06-18,271,59.0
18,2016-06-19,240,59.0
19,2016-06-20,334,121.0
20,2016-06-21,404,96.0
21,2016-06-22,374,63.0
22,2016-06-23,373,42.0
23,2016-06-24,345,30.0
24,2016-06-25,166,6.0
25,2016-06-26,274,9.0
26,2016-06-27,342,15.0
27,2016-06-28,339,19.0
28,2016-06-29,336,10.0
29,2016-06-30,255,100.0
30,2016-07-01,294,88.0
31,2016-07-02,235,10.0
32,2016-07-03,204,8.0
33,2016-07-04,337,9.0
34,2016-07-05,323,55.0
35,2016-07-06,365,28.0
36,2016-07-07,363,53.0
37,2016-07-08,339,13.0
38,2016-07-09,245,6.0
39,2016-07-10,241,6.0
40,2016-07-11,346,18.0
41,2016-07-12,362,14.0
42,2016-07-13,378,21.0
43,2016-07-14,350,17.0
44,2016-07-15,355,10.0
45,2016-07-16,260,4.0
46,2016-07-17,240,5.0
47,2016-07-18,357,16.0
48,2016-07-19,332,16.0
49,2016-07-20,331,12.0
50,2016-07-21,339,17.0
51,2016-07-22,342,14.0
52,2016-07-23,241,6.0
53,2016-07-24,204,1.0
54,2016-07-25,301,14.0
55,2016-07-26,322,7.0
56,2016-07-27,334,9.0
57,2016-07-28,327,22.0
58,2016-07-29,352,18.0
59,2016-07-30,252,6.0
60,2016-07-31,166,7.0
61,2016-08-01,344,15.0
62,2016-08-02,317,20.0
63,2016-08-03,333,16.0
64,2016-08-04,347,32.0
65,2016-08-05,357,26.0
66,2016-08-06,250,9.0
67,2016-08-07,234,8.0
68,2016-08-08,345,10.0
69,2016-08-09,359,21.0
70,2016-08-10,356,12.0
71,2016-08-11,370,52.0
72,2016-08-12,356,79.0
73,2016-08-13,254,4.0
74,2016-08-14,223,5.0
75,2016-08-15,292,14.0
76,2016-08-16,365,4.0
77,2016-08-17,371,14.0
78,2016-08-18,347,26.0
79,2016-08-19,364,25.0
80,2016-08-20,262,10.0
81,2016-08-21,240,
82,2016-08-22,385,10.0
83,2016-08-23,369,13.0
84,2016-08-24,386,7.0
85,2016-08-25,372,40.0
86,2016-08-26,341,19.0
87,2016-08-27,274,7.0
88,2016-08-28,238,3.0
89,2016-08-29,376,13.0
